每月對照使用,直飲臺編號,轄區分處,市別,場所別,場所次分類,所屬單位,場所名稱,地址,行政區,維護單位,連絡電話,場所開放時間,設置地點,經度,緯度,狀態,狀態異動日期時間,最近採樣日期時間,大腸桿菌數,水質及維護資訊網址,直飲台照片網址
1546b,1546b,陽明,臺北市,公園步道,公園處,工務局公園處,復興公園,臺北市北投區珠海路與中和街口附近,北投,工務局公園處陽明山管理所,28832130,0:00~24:00,運動場旁邊,121.503192,25.139360,正常,20260414T000000,20260115T133300,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1546b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1546b.JPG
1547,1547,陽明,臺北市,公園步道,產發局,產發局公用事業科,硫磺谷遊憩區,臺北市北投區泉源路,北投,產發局公用事業科,1999轉3285/1005,0:00~24:00,泡腳池,121.521732,25.143613,暫停,20260414T000000,20260115T113100,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1547,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1547.JPG
1548,1548,陽明,臺北市,公園步道,公園處,工務局公園處,七星公園,臺北市北投區光明路157巷2弄(七虎公園旁).,北投,工務局公園處陽明山管理所,28832130,0:00~24:00,電梯旁,121.502366,25.136538,正常,20260414T000000,20260115T141100,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1548,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1548.JPG
1549a,1549a,陽明,臺北市,公園步道,公園處,工務局公園處,北投公園,臺北市北投區光明路251號,北投,工務局公園處陽明山管理所,28832130,0:00~24:00,圖書館旁,121.506389,25.136055,正常,20260414T000000,20260115T140200,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1549a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1549a.JPG
1549b,1549b,陽明,臺北市,公園步道,公園處,工務局公園處,北投公園,臺北市北投區中山路2號,北投,工務局公園處陽明山管理所,28832130,0:00~24:00,天玥泉會館對面涼亭,121.505320,25.136900,正常,20211201T090000,20260115T135700,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1549b,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1549b.JPG
1550a,1550a,陽明,臺北市,公園步道,公園處,臺北市市場處,大豐公園,臺北市北投區磺港路90號對面,北投,臺北市市場處,25505220#2125,0:00~24:00,籃球場旁,121.503900,25.131110,正常,20260414T000000,20260205T152500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1550a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1550a.JPG
1551,1551,陽明,臺北市,公園步道,公園處,工務局公園處,榮華公園,臺北市北投區明德路150巷17-1號,北投,工務局公園處陽明山管理所,28832130,0:00~24:00,籃球場旁,121.521455,25.110239,正常,20260414T000000,20260106T151900,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1551,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1551.JPG
1551a,1551a,陽明,臺北市,公園步道,公園處,工務局公園處,榮華公園,臺北市北投區榮華一路20巷口對面,北投,工務局公園處陽明山管理所,28832130,0:00~24:00,休憩涼亭旁,121.522926,25.111350,正常,20211201T090000,20260106T152500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1551a,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1551a.JPG
1552,1552,陽明,臺北市,場館,水利處,工務局水利工程處北區左岸管理站,關渡宮,臺北市北投區知行路360號,北投,工務局水利工程處北區左岸管理站,27208889#2691,0:00~24:00,廁所旁,121.462529,25.118505,正常,20260414T000000,20260115T150300,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1552,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1552.JPG
1553,1553,陽明,臺北市,公園步道,公園處,工務局公園處,中央公園,臺北市北投區大業路300巷33-1號旁,北投,工務局公園處陽明山管理所,28832130,0:00~24:00,籃球場旁,121.499739,25.128820,正常,20211201T090000,20260115T143400,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1553,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1553.JPG
1554,1554,陽明,臺北市,公園步道,公園處,工務局公園處,北投火車站,臺北市北投區大業路700號對面,北投,工務局公園處陽明山管理所,28832130,0:00~24:00,休憩座椅旁,121.503500,25.136700,正常,20260414T000000,20260115T140600,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1554,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1554.JPG
1555,1555,陽明,臺北市,公園步道,工程處,工務局大地工程處,橫嶺古道,臺北市北投區湖底路114號,北投,大地工程處道路步道科,27593001轉2312,0:00~24:00,湖山路湖底路交口,121.541661,25.151549,正常,20220217T100000,20260205T101800,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1555,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1555.JPG
1557,1557,陽明,臺北市,公園步道,區公所,臺北市北投區公所,知行公園,臺北市北投區知行路255巷旁.,北投,臺北市北投區公所,2891-2105#289,0:00~24:00,公園,121.466621,25.119476,正常,20211201T090000,20260115T144700,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1557,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1557.JPG
1559,1559,陽明,臺北市,公園步道,公園處,工務局公園處,湖山秘境,陽明山國家公園第2停車場內,北投區,工務局公園處花卉試驗中心,26586601,0:00~24:00,第2停車場內,121.543504,25.154020,正常,20260414T000000,20260205T110300,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1559,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1559.JPG
1560,1560,陽明,臺北市,公園步道,區公所,臺北市北投區公所,長安公園,臺北市北投區育仁路117號對面,北投,臺北市北投區公所,2891-2105#289,0:00~24:00,涼亭旁,121.500221,25.135378,正常,20260414T000000,20260205T143500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1560,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1560.JPG
1561,1561,陽明,臺北市,公園步道,公園處,工務局公園處,磺港公園,臺北市北投區磺港路與大興路交叉口,北投,工務局公園處陽明山管理所,28832130,0:00~24:00,公園,121.504388,25.130996,暫停,20260414T000000,20250522T143700,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1561,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1561.JPG
1562,1562,陽明,臺北市,公園步道,公園處,工務局公園處,丹鳳公園,臺北市北投區公館路255巷19弄20號,北投,工務局公園處陽明山管理所,28832130,0:00~24:00,水表箱旁,121.510611,25.126522,正常,20211201T090000,20260205T153400,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1562,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1562.JPG
1563,1563,陽明,臺北市,公園步道,公園處,工務局公園處,崇仰公園,臺北市北投區公館路255巷19弄30號,北投,工務局公園處陽明山管理所,28832130,0:00~24:00,步道旁,121.511149,25.125853,正常,20260414T000000,20260205T153900,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1563,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1563.JPG
1564,1564,陽明,臺北市,公園步道,公園處,工務局公園處,忠義公園,臺北市北投區中央北路四段32號旁,北投,工務局公園處陽明山管理所,28832130,0:00~24:00,公園,121.477761,25.135104,正常,20211201T090000,20260205T150500,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1564,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1564.JPG
1565,1565,陽明,臺北市,公園步道,公園處,工務局公園處,永欣綠地,臺北市北投區天母北路105巷口,北投,工務局公園處陽明山管理所,28832130,0:00~24:00,永欣綠地石牌旁,121.526813,25.123883,正常,20211201T090000,20260205T140200,<1,https://gismobile.water.gov.taipei:8443/W/S.aspx?SD=1565,https://gismobile.water.gov.taipei/WaterMap_drinkImg/1565.JPG
